model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,3,24,pr,121.33161521084136
6.9b,0,3,24,2nn,24.87016650645032
6.9b,0,3,24,pca_ratio_099,2822.0
6.9b,0,3,25,mle,22.790884824067003
6.9b,0,3,25,pca,43.0
6.9b,0,3,25,pr,123.41870648269396
6.9b,0,3,25,2nn,24.678260189863146
6.9b,0,3,25,pca_ratio_099,2822.0
6.9b,0,3,26,mle,22.77504938949197
6.9b,0,3,26,pca,44.0
6.9b,0,3,26,pr,124.58761874442357
6.9b,0,3,26,2nn,24.447721211103666
6.9b,0,3,26,pca_ratio_099,2822.0
6.9b,0,3,27,mle,22.82604302323763
6.9b,0,3,27,pca,45.0
6.9b,0,3,27,pr,125.42299241962392
6.9b,0,3,27,2nn,24.261913976556343
6.9b,0,3,27,pca_ratio_099,2822.0
6.9b,0,3,28,mle,22.83095722701342
6.9b,0,3,28,pca,45.0
6.9b,0,3,28,pr,126.48641360469011
6.9b,0,3,28,2nn,23.99416771622696
6.9b,0,3,28,pca_ratio_099,2822.0
6.9b,0,3,29,mle,22.8573159614302
6.9b,0,3,29,pca,45.0
6.9b,0,3,29,pr,126.76111542492993
6.9b,0,3,29,2nn,23.79507399919693
6.9b,0,3,29,pca_ratio_099,2822.0
6.9b,0,3,30,mle,22.847844880247425
6.9b,0,3,30,pca,45.0
6.9b,0,3,30,pr,128.03598624366296
6.9b,0,3,30,2nn,23.58946398022213
6.9b,0,3,30,pca_ratio_099,2822.0
6.9b,0,3,31,mle,22.9196211769634
6.9b,0,3,31,pca,44.0
6.9b,0,3,31,pr,127.8900642630961
6.9b,0,3,31,2nn,23.362578734022016
6.9b,0,3,31,pca_ratio_099,2821.0
6.9b,0,4,0,mle,12.06912966586593
6.9b,0,4,0,pca,10.0
6.9b,0,4,0,pr,50.43524750008461
6.9b,0,4,0,2nn,15.894175373522646
6.9b,0,4,0,pca_ratio_099,1545.0
6.9b,0,4,1,mle,14.862998601230467
6.9b,0,4,1,pca,11.0
6.9b,0,4,1,pr,57.35333992559298
6.9b,0,4,1,2nn,18.881379003808384
6.9b,0,4,1,pca_ratio_099,2250.0
6.9b,0,4,2,mle,16.411430264320398
6.9b,0,4,2,pca,12.0
6.9b,0,4,2,pr,62.43717624827756
6.9b,0,4,2,2nn,20.971155337136445
6.9b,0,4,2,pca_ratio_099,2479.0
6.9b,0,4,3,mle,17.450972389211806
6.9b,0,4,3,pca,13.0
6.9b,0,4,3,pr,66.5966806691248
6.9b,0,4,3,2nn,22.39289885703238
6.9b,0,4,3,pca_ratio_099,2585.0
6.9b,0,4,4,mle,18.0602517488838
6.9b,0,4,4,pca,13.0
6.9b,0,4,4,pr,70.27113775839254
6.9b,0,4,4,2nn,23.31344733005169
6.9b,0,4,4,pca_ratio_099,2644.0
6.9b,0,4,5,mle,18.573880132153736
6.9b,0,4,5,pca,15.0
6.9b,0,4,5,pr,73.74862737414702
6.9b,0,4,5,2nn,23.82704644908676
6.9b,0,4,5,pca_ratio_099,2680.0
6.9b,0,4,6,mle,18.9617030790072
6.9b,0,4,6,pca,17.0
6.9b,0,4,6,pr,77.20666692094089
6.9b,0,4,6,2nn,24.11375131566019
6.9b,0,4,6,pca_ratio_099,2706.0
6.9b,0,4,7,mle,19.253506264175105
6.9b,0,4,7,pca,19.0
6.9b,0,4,7,pr,80.37579996999155
6.9b,0,4,7,2nn,24.22159831351688
6.9b,0,4,7,pca_ratio_099,2724.0
6.9b,0,4,8,mle,19.459023241795208
6.9b,0,4,8,pca,21.0
6.9b,0,4,8,pr,83.06282917942623
6.9b,0,4,8,2nn,24.07394447349341
6.9b,0,4,8,pca_ratio_099,2737.0
6.9b,0,4,9,mle,19.68307385893307
6.9b,0,4,9,pca,22.0
6.9b,0,4,9,pr,85.51658116568464
6.9b,0,4,9,2nn,23.952953612126457
6.9b,0,4,9,pca_ratio_099,2749.0
6.9b,0,4,10,mle,19.842400108853592
6.9b,0,4,10,pca,24.0
6.9b,0,4,10,pr,88.23509081418811
6.9b,0,4,10,2nn,23.86912632907853
6.9b,0,4,10,pca_ratio_099,2755.0
6.9b,0,4,11,mle,19.95924051101497
6.9b,0,4,11,pca,26.0
6.9b,0,4,11,pr,90.4070902401618
6.9b,0,4,11,2nn,23.697461791862715
6.9b,0,4,11,pca_ratio_099,2761.0
6.9b,0,4,12,mle,20.079638275188977
6.9b,0,4,12,pca,27.0
6.9b,0,4,12,pr,92.5612572560182
6.9b,0,4,12,2nn,23.435497847285696
6.9b,0,4,12,pca_ratio_099,2768.0
6.9b,0,4,13,mle,20.17142835787877
6.9b,0,4,13,pca,29.0
6.9b,0,4,13,pr,94.996665580063
6.9b,0,4,13,2nn,23.14615146082392
6.9b,0,4,13,pca_ratio_099,2773.0
6.9b,0,4,14,mle,20.22662276946743
6.9b,0,4,14,pca,29.0
6.9b,0,4,14,pr,96.92751613872738
6.9b,0,4,14,2nn,22.863540574253328
6.9b,0,4,14,pca_ratio_099,2775.0
6.9b,0,4,15,mle,20.29308231028667
