model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,64,3,9,pr,7.18744940059529
160m,64,3,9,2nn,15.79866507720957
160m,64,3,10,mle,11.4191513702799
160m,64,3,10,pca,6.0
160m,64,3,10,pr,6.776299602452681
160m,64,3,10,2nn,15.557335371423571
160m,64,3,11,mle,11.31977438426272
160m,64,3,11,pca,6.0
160m,64,3,11,pr,6.408997962197985
160m,64,3,11,2nn,15.562616336264087
160m,64,4,0,mle,11.051833466453107
160m,64,4,0,pca,17.0
160m,64,4,0,pr,32.48058512754026
160m,64,4,0,2nn,13.852952627483758
160m,64,4,1,mle,12.518865216764517
160m,64,4,1,pca,7.0
160m,64,4,1,pr,21.68434372523538
160m,64,4,1,2nn,18.341334558990933
160m,64,4,2,mle,12.870954896951487
160m,64,4,2,pca,6.0
160m,64,4,2,pr,16.2186649378283
160m,64,4,2,2nn,18.915256395274813
160m,64,4,3,mle,12.832624421127987
160m,64,4,3,pca,7.0
160m,64,4,3,pr,13.881362809890023
160m,64,4,3,2nn,17.797155775688402
160m,64,4,4,mle,12.537278589168462
160m,64,4,4,pca,7.0
160m,64,4,4,pr,11.674666036971036
160m,64,4,4,2nn,16.7145198508027
160m,64,4,5,mle,12.130788160544606
160m,64,4,5,pca,7.0
160m,64,4,5,pr,10.213739296300398
160m,64,4,5,2nn,15.884026765600623
160m,64,4,6,mle,11.700085429219898
160m,64,4,6,pca,6.0
160m,64,4,6,pr,9.177898331791832
160m,64,4,6,2nn,15.182006329648464
160m,64,4,7,mle,11.362300733539538
160m,64,4,7,pca,6.0
160m,64,4,7,pr,8.38053529691457
160m,64,4,7,2nn,14.779314262277204
160m,64,4,8,mle,11.04110654439785
160m,64,4,8,pca,6.0
160m,64,4,8,pr,7.740816321726657
160m,64,4,8,2nn,14.434014461679856
160m,64,4,9,mle,10.763478789551495
160m,64,4,9,pca,6.0
160m,64,4,9,pr,7.123886555091332
160m,64,4,9,2nn,14.108529860092522
160m,64,4,10,mle,10.570135373038612
160m,64,4,10,pca,6.0
160m,64,4,10,pr,6.717317305623255
160m,64,4,10,2nn,13.900662445733078
160m,64,4,11,mle,10.51534531942662
160m,64,4,11,pca,6.0
160m,64,4,11,pr,6.346342181717628
160m,64,4,11,2nn,13.864900130178498
160m,512,1,0,mle,18.38900839852767
160m,512,1,0,pca,12.0
160m,512,1,0,pr,24.79661896237841
160m,512,1,0,2nn,32.04595175622761
160m,512,1,1,mle,18.037650499168855
160m,512,1,1,pca,10.0
160m,512,1,1,pr,18.937538180974265
160m,512,1,1,2nn,32.78657476565283
160m,512,1,2,mle,16.944131739094573
160m,512,1,2,pca,11.0
160m,512,1,2,pr,18.222466639005436
160m,512,1,2,2nn,31.520066986511836
160m,512,1,3,mle,13.355487234278131
160m,512,1,3,pca,15.0
160m,512,1,3,pr,23.081122526240396
160m,512,1,3,2nn,22.933116485431494
160m,512,1,4,mle,13.21098312917591
160m,512,1,4,pca,15.0
160m,512,1,4,pr,22.589163169553945
160m,512,1,4,2nn,21.61481683277533
160m,512,1,5,mle,13.212125239630998
160m,512,1,5,pca,17.0
160m,512,1,5,pr,22.34777600596023
160m,512,1,5,2nn,21.132601304715326
160m,512,1,6,mle,13.300866990390807
160m,512,1,6,pca,17.0
160m,512,1,6,pr,21.574899553741147
160m,512,1,6,2nn,20.977226846193638
160m,512,1,7,mle,13.356487827770389
160m,512,1,7,pca,16.0
160m,512,1,7,pr,20.586544831803316
160m,512,1,7,2nn,20.664085628748325
160m,512,1,8,mle,13.391391379793212
160m,512,1,8,pca,16.0
160m,512,1,8,pr,19.113981688200496
160m,512,1,8,2nn,20.463343847730595
160m,512,1,9,mle,13.426843798956028
160m,512,1,9,pca,16.0
160m,512,1,9,pr,18.53817313613641
160m,512,1,9,2nn,20.468385692530397
160m,512,1,10,mle,13.494671503953757
160m,512,1,10,pca,17.0
160m,512,1,10,pr,17.652181879926484
160m,512,1,10,2nn,20.634765358046103
160m,512,1,11,mle,13.66180979305907
160m,512,1,11,pca,20.0
160m,512,1,11,pr,21.64814022012625
160m,512,1,11,2nn,20.156916822493937
160m,512,2,0,mle,14.597273973448793
160m,512,2,0,pca,12.0
160m,512,2,0,pr,26.072660764864423
160m,512,2,0,2nn,24.703766451103508
160m,512,2,1,mle,14.951360792150275
160m,512,2,1,pca,10.0
160m,512,2,1,pr,19.697510889906322
160m,512,2,1,2nn,26.85119736122455
160m,512,2,2,mle,14.662455444106126
160m,512,2,2,pca,11.0
160m,512,2,2,pr,18.770644141321913
160m,512,2,2,2nn,27.684962393231576
160m,512,2,3,mle,11.984989075188958
160m,512,2,3,pca,15.0
160m,512,2,3,pr,23.630810130910405
160m,512,2,3,2nn,20.86229677968491
160m,512,2,4,mle,11.912053382728297
160m,512,2,4,pca,15.0
160m,512,2,4,pr,22.98123021554129
160m,512,2,4,2nn,19.872684728794926
160m,512,2,5,mle,11.983500642189524
160m,512,2,5,pca,17.0
160m,512,2,5,pr,22.646147535865573
160m,512,2,5,2nn,19.620904403016908
160m,512,2,6,mle,12.082518323448408
160m,512,2,6,pca,17.0
160m,512,2,6,pr,21.879695324623178
160m,512,2,6,2nn,19.59660168554702
160m,512,2,7,mle,12.142630182659152
160m,512,2,7,pca,16.0
160m,512,2,7,pr,20.931202202424245
160m,512,2,7,2nn,19.73966987498363
160m,512,2,8,mle,12.201692824046436
160m,512,2,8,pca,16.0
160m,512,2,8,pr,19.468868605133185
160m,512,2,8,2nn,19.643425676212924
160m,512,2,9,mle,12.268890164012687
160m,512,2,9,pca,16.0
160m,512,2,9,pr,18.907484673825316
160m,512,2,9,2nn,19.737884575857176
160m,512,2,10,mle,12.35447676398512
160m,512,2,10,pca,16.0
160m,512,2,10,pr,18.065867850976314
160m,512,2,10,2nn,19.653046972589983
160m,512,2,11,mle,12.662485717275256
160m,512,2,11,pca,20.0
160m,512,2,11,pr,22.000721874491294
160m,512,2,11,2nn,18.879662681187646
160m,512,3,0,mle,12.531299380145558
160m,512,3,0,pca,11.0
160m,512,3,0,pr,24.805564418013066
160m,512,3,0,2nn,19.218958691467716
160m,512,3,1,mle,13.24177603607722
160m,512,3,1,pca,10.0
160m,512,3,1,pr,18.86472929006788
160m,512,3,1,2nn,22.275202191203245
160m,512,3,2,mle,13.37604836645507
160m,512,3,2,pca,11.0
160m,512,3,2,pr,18.093215256560196
160m,512,3,2,2nn,23.22662830281554
160m,512,3,3,mle,11.729735567264305
160m,512,3,3,pca,15.0
160m,512,3,3,pr,22.822011759625436
160m,512,3,3,2nn,18.997569665029086
160m,512,3,4,mle,11.849358509020817
160m,512,3,4,pca,15.0
160m,512,3,4,pr,22.29853288300837
160m,512,3,4,2nn,18.15659624130359
160m,512,3,5,mle,12.004550549847535
160m,512,3,5,pca,16.0
160m,512,3,5,pr,22.051346348148233
160m,512,3,5,2nn,18.188106279176594
160m,512,3,6,mle,12.14408669180563
160m,512,3,6,pca,16.0
160m,512,3,6,pr,21.294375689345266
160m,512,3,6,2nn,18.180419177671933
160m,512,3,7,mle,12.247950307872909
160m,512,3,7,pca,17.0
160m,512,3,7,pr,20.420704789645068
160m,512,3,7,2nn,18.11758052837133
160m,512,3,8,mle,12.31192302976996
160m,512,3,8,pca,16.0
160m,512,3,8,pr,19.01150184160316
160m,512,3,8,2nn,18.079188894468587
