model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,2,2,0,mle,28.180484961575537
1b,2,2,0,pca,180.0
1b,2,2,0,pr,135.81676083075598
1b,2,2,0,2nn,24.902558648645243
1b,2,2,1,mle,27.538025087092194
1b,2,2,1,pca,189.0
1b,2,2,1,pr,148.48817056163824
1b,2,2,1,2nn,24.70006250324024
1b,2,2,2,mle,24.241253992171462
1b,2,2,2,pca,188.0
1b,2,2,2,pr,147.92615897757548
1b,2,2,2,2nn,23.30203016766711
1b,2,2,3,mle,22.286842943403688
1b,2,2,3,pca,189.0
1b,2,2,3,pr,145.097370162735
1b,2,2,3,2nn,22.74111612400993
1b,2,2,4,mle,21.132196729233662
1b,2,2,4,pca,193.0
1b,2,2,4,pr,141.9145822710659
1b,2,2,4,2nn,22.206115807060602
1b,2,2,5,mle,20.368758688009887
1b,2,2,5,pca,192.0
1b,2,2,5,pr,139.09699719874362
1b,2,2,5,2nn,21.834742440954237
1b,2,2,6,mle,19.905948020494478
1b,2,2,6,pca,192.0
1b,2,2,6,pr,136.80799101050397
1b,2,2,6,2nn,21.608231537389425
1b,2,2,7,mle,19.595973242953303
1b,2,2,7,pca,191.0
1b,2,2,7,pr,134.19077771377982
1b,2,2,7,2nn,21.46538216453085
1b,2,2,8,mle,19.380383210185006
1b,2,2,8,pca,192.0
1b,2,2,8,pr,132.49227022968532
1b,2,2,8,2nn,21.28377025943504
1b,2,2,9,mle,19.148043803301583
1b,2,2,9,pca,188.0
1b,2,2,9,pr,130.5511139048137
1b,2,2,9,2nn,21.15246437158756
1b,2,2,10,mle,18.94859005870408
1b,2,2,10,pca,187.0
1b,2,2,10,pr,129.01114790980452
1b,2,2,10,2nn,20.876339714689983
1b,2,2,11,mle,18.773118458917878
1b,2,2,11,pca,184.0
1b,2,2,11,pr,127.53170552493856
1b,2,2,11,2nn,20.775059573383047
1b,2,2,12,mle,18.653349175283058
1b,2,2,12,pca,182.0
1b,2,2,12,pr,126.2293538474043
1b,2,2,12,2nn,20.638573745750875
1b,2,2,13,mle,18.562259855436114
1b,2,2,13,pca,179.0
1b,2,2,13,pr,124.8233884682849
1b,2,2,13,2nn,20.63211304841346
1b,2,2,14,mle,18.44764255857979
1b,2,2,14,pca,176.0
1b,2,2,14,pr,123.11731879311507
1b,2,2,14,2nn,20.546029400405793
1b,2,2,15,mle,18.398595776835684
1b,2,2,15,pca,173.0
1b,2,2,15,pr,121.7283568334156
1b,2,2,15,2nn,20.45732526277934
1b,2,3,0,mle,18.16337259944876
1b,2,3,0,pca,156.0
1b,2,3,0,pr,115.27754889589887
1b,2,3,0,2nn,15.29014337721971
1b,2,3,1,mle,15.705821003238114
1b,2,3,1,pca,165.0
1b,2,3,1,pr,122.73703063825147
1b,2,3,1,2nn,15.679802446189315
1b,2,3,2,mle,14.05773595528691
1b,2,3,2,pca,164.0
1b,2,3,2,pr,120.69861963007205
1b,2,3,2,2nn,16.227417286367526
1b,2,3,3,mle,13.605136128609082
1b,2,3,3,pca,166.0
1b,2,3,3,pr,117.78830446122194
1b,2,3,3,2nn,16.251707977679597
1b,2,3,4,mle,13.385005374956885
1b,2,3,4,pca,167.0
1b,2,3,4,pr,114.99180797635431
1b,2,3,4,2nn,16.290431853970777
1b,2,3,5,mle,13.245399796699349
1b,2,3,5,pca,166.0
1b,2,3,5,pr,112.19170233221924
1b,2,3,5,2nn,16.319661616410684
1b,2,3,6,mle,13.21037566044805
1b,2,3,6,pca,166.0
1b,2,3,6,pr,109.90036478220782
1b,2,3,6,2nn,16.431829461902087
1b,2,3,7,mle,13.175345535161389
1b,2,3,7,pca,162.0
1b,2,3,7,pr,107.56761747175211
1b,2,3,7,2nn,16.435309873179957
1b,2,3,8,mle,13.149583670307653
1b,2,3,8,pca,160.0
1b,2,3,8,pr,105.89893197239941
1b,2,3,8,2nn,16.414805459173465
1b,2,3,9,mle,13.14521025363447
1b,2,3,9,pca,159.0
1b,2,3,9,pr,104.38093895799695
1b,2,3,9,2nn,16.32806139781146
1b,2,3,10,mle,13.147578495388437
1b,2,3,10,pca,157.0
1b,2,3,10,pr,102.6974088464437
1b,2,3,10,2nn,16.2893049321399
1b,2,3,11,mle,13.110708440682103
1b,2,3,11,pca,153.0
1b,2,3,11,pr,101.55286605703313
1b,2,3,11,2nn,16.24088441236278
1b,2,3,12,mle,13.10000679702874
1b,2,3,12,pca,152.0
1b,2,3,12,pr,100.66175411931134
1b,2,3,12,2nn,16.18662207176135
1b,2,3,13,mle,13.102541025992338
1b,2,3,13,pca,147.0
1b,2,3,13,pr,99.19322353959491
1b,2,3,13,2nn,16.111213594775105
1b,2,3,14,mle,13.094309007455356
1b,2,3,14,pca,146.0
1b,2,3,14,pr,98.02145086397822
1b,2,3,14,2nn,16.12437798355819
1b,2,3,15,mle,13.08704591387505
1b,2,3,15,pca,144.0
1b,2,3,15,pr,96.99409348249624
1b,2,3,15,2nn,16.11537127400487
1b,2,4,0,mle,10.012859816220544
1b,2,4,0,pca,127.0
1b,2,4,0,pr,94.15083601236036
1b,2,4,0,2nn,16.229193604956198
1b,2,4,1,mle,9.531965119656766
1b,2,4,1,pca,139.0
1b,2,4,1,pr,99.22167936645648
1b,2,4,1,2nn,19.040596652649608
1b,2,4,2,mle,9.619643311312402
1b,2,4,2,pca,139.0
1b,2,4,2,pr,98.31092223922717
1b,2,4,2,2nn,17.479772946369543
1b,2,4,3,mle,9.649279697946646
1b,2,4,3,pca,141.0
1b,2,4,3,pr,96.32177357809253
1b,2,4,3,2nn,17.042393054129768
1b,2,4,4,mle,9.644653940854568
1b,2,4,4,pca,141.0
1b,2,4,4,pr,94.22615283678493
1b,2,4,4,2nn,16.79148499733471
1b,2,4,5,mle,9.62329252914386
1b,2,4,5,pca,139.0
1b,2,4,5,pr,92.32341778603441
1b,2,4,5,2nn,16.504297959952424
1b,2,4,6,mle,9.636060199823195
1b,2,4,6,pca,139.0
1b,2,4,6,pr,90.6694953845461
1b,2,4,6,2nn,16.2387907642978
1b,2,4,7,mle,9.63896473744623
1b,2,4,7,pca,137.0
1b,2,4,7,pr,88.99023267936403
1b,2,4,7,2nn,16.007613221131926
1b,2,4,8,mle,9.649139887781022
1b,2,4,8,pca,135.0
1b,2,4,8,pr,87.82114711844157
1b,2,4,8,2nn,15.81574417068437
1b,2,4,9,mle,9.654118856837481
1b,2,4,9,pca,133.0
1b,2,4,9,pr,86.6913190734796
1b,2,4,9,2nn,15.552858036829765
1b,2,4,10,mle,9.66374415365174
1b,2,4,10,pca,130.0
1b,2,4,10,pr,85.41509163585636
1b,2,4,10,2nn,15.459453471441984
1b,2,4,11,mle,9.65639795348199
1b,2,4,11,pca,127.0
1b,2,4,11,pr,84.59386053984142
1b,2,4,11,2nn,15.287469270581381
1b,2,4,12,mle,9.652899269563207
1b,2,4,12,pca,127.0
1b,2,4,12,pr,84.06257128524913
1b,2,4,12,2nn,15.21458675077745
1b,2,4,13,mle,9.658064478768953
1b,2,4,13,pca,124.0
1b,2,4,13,pr,83.09193253254202
1b,2,4,13,2nn,15.121836887917734
1b,2,4,14,mle,9.66165663704426
1b,2,4,14,pca,122.0
1b,2,4,14,pr,82.2483314651138
1b,2,4,14,2nn,15.006449626431712
1b,2,4,15,mle,9.649316970303701
1b,2,4,15,pca,121.0
1b,2,4,15,pr,81.54891947323992
1b,2,4,15,2nn,14.94030504887245
1b,64,1,0,mle,42.82289320321176
1b,64,1,0,pca,203.0
1b,64,1,0,pr,172.7336656544603
1b,64,1,0,2nn,41.99127276384629
1b,64,1,1,mle,45.76480292238137
1b,64,1,1,pca,230.0
1b,64,1,1,pr,199.88083612432052
1b,64,1,1,2nn,45.06551449569209
1b,64,1,2,mle,43.088896642739314
1b,64,1,2,pca,241.0
1b,64,1,2,pr,202.7570034632213
1b,64,1,2,2nn,41.825945387629545
1b,64,1,3,mle,40.225520284125565
1b,64,1,3,pca,242.0
1b,64,1,3,pr,198.35712004169764
1b,64,1,3,2nn,38.936286725127744
1b,64,1,4,mle,37.59373658400485
1b,64,1,4,pca,244.0
1b,64,1,4,pr,189.67922687535446
1b,64,1,4,2nn,36.90683536092704
1b,64,1,5,mle,35.71121366205497
1b,64,1,5,pca,236.0
1b,64,1,5,pr,180.48054927651347
1b,64,1,5,2nn,35.181718465945266
1b,64,1,6,mle,34.562575614589356
1b,64,1,6,pca,216.0
1b,64,1,6,pr,170.29911450576364
1b,64,1,6,2nn,34.260510076477495
1b,64,1,7,mle,33.59820129278387
1b,64,1,7,pca,192.0
1b,64,1,7,pr,159.95646187956348
1b,64,1,7,2nn,33.45913949610221
1b,64,1,8,mle,32.901423335611724
1b,64,1,8,pca,172.0
1b,64,1,8,pr,148.9173282004428
1b,64,1,8,2nn,32.84637206811337
1b,64,1,9,mle,32.40896996625895
1b,64,1,9,pca,153.0
1b,64,1,9,pr,137.60775912254775
1b,64,1,9,2nn,32.08150839679362
1b,64,1,10,mle,31.968732471193373
1b,64,1,10,pca,137.0
1b,64,1,10,pr,127.8210665119327
1b,64,1,10,2nn,31.5142368765562
1b,64,1,11,mle,31.67651880770549
1b,64,1,11,pca,125.0
1b,64,1,11,pr,117.67311931343353
1b,64,1,11,2nn,30.985541641541463
1b,64,1,12,mle,31.426629837306194
1b,64,1,12,pca,113.0
1b,64,1,12,pr,108.44009238254641
1b,64,1,12,2nn,30.595758668352513
1b,64,1,13,mle,31.178284874999093
1b,64,1,13,pca,103.0
1b,64,1,13,pr,99.97355476555587
1b,64,1,13,2nn,30.13589091441354
1b,64,1,14,mle,31.04461461154056
1b,64,1,14,pca,93.0
1b,64,1,14,pr,92.23300808524047
1b,64,1,14,2nn,29.82226317302665
1b,64,1,15,mle,30.944598468861116
1b,64,1,15,pca,83.0
1b,64,1,15,pr,86.40895603903128
1b,64,1,15,2nn,29.59238131367779
1b,64,2,0,mle,28.059265395304152
1b,64,2,0,pca,178.0
1b,64,2,0,pr,134.26478037017833
1b,64,2,0,2nn,24.808022925037474
1b,64,2,1,mle,27.25864808022934
1b,64,2,1,pca,191.0
1b,64,2,1,pr,148.72703357286386
1b,64,2,1,2nn,24.55794131029419
1b,64,2,2,mle,23.59076705123906
1b,64,2,2,pca,197.0
1b,64,2,2,pr,148.57513818713198
